year,crop_type,soil_type,soil_ph,nitrogen,phosphorus,potassium,temperature,rainfall,humidity,irrigation_level,sunshine_hours,yield_kg_acre,yield_tons_ha
2026,Cotton,Peaty,8.52,140,61,97,11.0,322,60.5,High,8.5,184.88,0.457
2020,Wheat,Loam,4.93,56,94,102,12.1,150,36.7,Low,5.4,192.36,0.475
2024,Barley,Peaty,5.34,74,32,10,12.9,484,82.1,Low,8.3,407.85,1.008
2025,Chickpea,Silt Loam,5.96,10,77,16,15.2,464,66.3,High,4.7,225.95,0.558
2024,Groundnut,Clay Loam,5.9,10,41,83,27.3,696,83.7,Medium,5.0,848.02,2.095
2021,Coffee,Clay Loam,4.91,108,67,143,39.8,1983,63.5,Low,10.9,278.27,0.688
2022,Sunflower,Sandy Loam,6.59,55,80,47,38.6,892,93.7,High,4.0,323.2,0.799
2026,Sugarcane,Alluvial,6.94,184,70,81,32.9,2210,60.3,Low,9.8,37580.11,92.862
2023,Rice,Red Soil,7.88,199,29,58,38.1,1424,57.8,Medium,9.8,498.13,1.231
2021,Garlic,Red Soil,5.3,75,65,10,36.0,150,67.7,Low,6.5,214.79,0.531
2023,Rice,Saline,6.21,112,31,38,20.2,1691,42.8,Medium,11.7,1200.2,2.966
2022,Tomato,Saline,5.72,131,85,110,19.6,682,81.2,Medium,4.4,5858.68,14.477
2024,Potato,Clay Loam,7.18,116,43,140,11.8,597,68.8,Medium,9.7,4966.03,12.271
2026,Cotton,Laterite,8.39,74,38,64,11.8,1173,38.2,Low,9.4,257.42,0.636
2024,Sugarcane,Laterite,8.14,233,93,93,15.5,1233,48.3,Low,8.1,4551.88,11.248
2024,Tea,Sandy Loam,8.54,148,35,76,18.6,1623,46.4,Medium,10.3,509.61,1.259
2022,Mustard,Sandy Loam,5.04,48,21,63,31.4,185,73.1,Medium,4.1,82.66,0.204
2022,Barley,Red Soil,6.26,72,48,29,33.6,206,87.9,High,11.7,327.89,0.81
2026,Wheat,Silt Loam,6.82,111,10,10,37.9,708,78.4,Low,5.9,449.51,1.111
2022,Garlic,Alluvial,6.94,117,35,52,25.5,150,71.0,Medium,4.5,1107.32,2.736
2022,Tea,Saline,8.31,108,26,82,36.1,1510,71.7,High,11.4,147.09,0.363
2020,Sugarcane,Alluvial,5.44,257,95,95,10.1,2008,33.0,High,10.3,9780.68,24.169
2024,Onion,Black Soil,6.8,23,49,88,36.3,535,65.1,High,6.0,1933.44,4.778
2026,Barley,Sandy Loam,7.26,81,18,51,33.9,1456,65.5,High,6.3,252.13,0.623
2020,Apple,Red Soil,6.21,159,37,80,11.5,323,72.5,Medium,9.7,3384.64,8.364
2022,Sugarcane,Black Soil,5.38,239,70,94,24.4,1916,69.1,Low,4.4,9793.27,24.2
2024,Mustard,Silt Loam,8.55,103,39,68,12.1,150,90.4,Medium,6.8,193.45,0.478
2026,Maize,Saline,5.17,152,31,48,19.1,758,76.2,Low,7.7,602.72,1.489
2022,Coffee,Black Soil,6.34,149,49,133,24.4,1963,60.8,Low,6.7,656.12,1.621
2020,Rice,Red Soil,8.48,126,54,10,20.3,1239,36.8,Low,5.1,328.73,0.812
2020,Banana,Silt Loam,8.38,270,57,238,27.6,1473,50.7,Medium,8.0,13901.28,34.351
2024,Cotton,Loam,6.32,63,37,38,16.6,557,39.0,Low,4.6,185.0,0.457
2025,Onion,Clay Loam,6.64,141,37,68,31.6,150,58.2,Medium,10.3,1538.2,3.801
2025,Sugarcane,Black Soil,4.85,281,70,78,28.2,1132,87.5,High,11.2,12861.31,31.781
2025,Tea,Black Soil,6.58,137,10,95,18.9,1764,66.4,Medium,9.9,522.08,1.29
2021,Tea,Clay Loam,6.91,143,41,70,16.1,1911,44.5,Medium,9.1,499.45,1.234
2025,Garlic,Saline,8.38,55,50,76,22.6,533,86.1,High,6.1,1199.83,2.965
2021,Cotton,Alluvial,4.51,118,33,21,12.8,417,93.0,High,9.3,142.33,0.352
2023,Apple,Clay Loam,5.16,176,31,102,13.0,734,39.1,High,5.3,4687.71,11.584
2023,Potato,Sandy Loam,8.33,146,150,92,18.4,150,78.5,Medium,10.6,2128.61,5.26
2020,Tomato,Saline,7.98,177,103,95,25.5,605,55.7,Low,8.1,4670.06,11.54
2022,Coffee,Silt Loam,5.19,89,10,103,19.5,950,66.4,High,7.5,341.14,0.843
2024,Maize,Sandy Loam,4.51,160,98,61,10.7,713,94.6,Medium,5.5,366.4,0.905
2021,Barley,Red Soil,7.8,106,24,39,35.5,782,89.6,Low,11.4,510.08,1.26
2025,Chickpea,Loam,7.56,45,47,63,29.6,305,41.7,Medium,8.3,622.85,1.539
2020,Rice,Clay Loam,6.79,149,51,83,16.9,1782,50.8,Medium,9.2,1296.2,3.203
2025,Chickpea,Red Soil,8.41,30,70,49,38.8,606,61.8,Low,8.5,366.89,0.907
2022,Chickpea,Peaty,8.11,20,31,10,31.1,738,94.8,High,10.9,374.42,0.925
2023,Chickpea,Peaty,7.07,21,83,10,13.1,150,83.0,High,10.1,196.88,0.487
2022,Chickpea,Silt Loam,6.37,34,33,10,29.6,361,75.0,High,5.1,294.67,0.728
2020,Garlic,Black Soil,5.65,93,17,50,12.1,606,86.5,High,7.6,2102.03,5.194
2025,Sugarcane,Loam,8.69,218,82,49,26.0,1657,81.9,Low,11.8,11821.89,29.212
2022,Sunflower,Peaty,8.39,108,39,29,12.4,1180,70.5,High,4.4,152.27,0.376
2024,Sunflower,Alluvial,6.55,34,81,58,12.0,801,53.9,Medium,4.4,395.52,0.977
2024,Wheat,Red Soil,6.22,90,96,64,25.7,1269,71.9,High,8.3,1219.17,3.013
2023,Sunflower,Clay Loam,5.5,99,40,20,39.9,733,53.6,High,11.7,346.43,0.856
2022,Maize,Red Soil,7.41,136,34,63,38.9,561,33.0,High,9.3,657.95,1.626
2025,Wheat,Laterite,6.1,143,78,34,20.3,659,55.4,Low,9.4,1872.06,4.626
2024,Sugarcane,Saline,6.47,253,90,68,36.6,1463,35.2,High,8.8,16510.7,40.799
2020,Soybean,Loam,6.7,10,10,82,14.4,331,82.1,High,8.4,222.75,0.55
2021,Sunflower,Red Soil,6.0,26,69,56,14.4,461,62.2,Medium,11.6,331.08,0.818
2025,Banana,Alluvial,6.49,229,10,197,34.3,1888,53.8,High,4.6,10113.56,24.991
2022,Groundnut,Loam,7.52,28,62,61,14.5,1361,60.0,High,8.4,407.5,1.007
2024,Banana,Black Soil,5.54,216,51,242,23.6,1684,94.2,Medium,9.4,19992.27,49.402
2022,Cotton,Silt Loam,6.53,130,47,40,27.6,288,63.4,Medium,10.6,515.44,1.274
2026,Sunflower,Silt Loam,6.23,43,61,47,35.7,150,30.9,Low,9.2,228.67,0.565
2021,Sugarcane,Alluvial,7.49,220,87,47,24.3,1598,86.7,Medium,4.3,12214.94,30.184
2024,Banana,Silt Loam,6.54,234,62,244,21.2,1772,93.3,High,9.6,22613.03,55.878
2025,Banana,Alluvial,6.7,161,64,248,14.3,1998,76.3,Medium,9.3,12303.95,30.404
2024,Sugarcane,Alluvial,6.41,238,79,95,26.5,1563,49.7,High,4.8,24240.34,59.899
2024,Tea,Alluvial,8.32,165,10,52,20.9,1740,56.5,High,11.2,422.85,1.045
2026,Onion,Silt Loam,7.93,46,80,71,25.3,314,44.5,Medium,5.2,1815.55,4.486
2025,Maize,Red Soil,8.63,155,74,32,12.4,562,76.1,Medium,8.0,321.4,0.794
2021,Banana,Clay Loam,4.63,289,48,281,32.3,1657,35.8,High,5.9,8620.13,21.301
2025,Banana,Laterite,7.12,250,32,269,20.4,1342,59.6,Medium,8.5,10810.63,26.714
2022,Rice,Laterite,5.51,167,19,45,26.0,1311,56.6,High,9.8,1433.12,3.541
2023,Apple,Red Soil,5.9,152,32,63,21.6,1137,49.9,Medium,8.8,5311.11,13.124
2021,Barley,Red Soil,5.83,58,31,10,25.5,1074,42.3,Low,11.6,544.05,1.344
2020,Tea,Peaty,7.45,123,65,82,33.0,1914,32.2,Low,10.6,213.9,0.529
2026,Cotton,Alluvial,6.35,149,53,26,11.4,994,50.1,Low,9.5,371.77,0.919
2022,Maize,Silt Loam,7.55,121,80,103,18.8,1364,34.5,High,7.2,1389.65,3.434
2025,Apple,Laterite,5.56,83,65,114,34.2,1156,81.6,High,4.5,1617.84,3.998
2026,Coffee,Black Soil,5.63,185,30,113,31.7,2094,67.0,Low,6.7,332.15,0.821
2024,Wheat,Peaty,6.04,159,81,12,19.2,1098,61.3,High,8.5,1218.93,3.012
2021,Chickpea,Alluvial,8.75,14,63,36,37.9,601,74.9,Low,9.4,274.99,0.68
2025,Potato,Alluvial,6.97,124,44,89,15.3,1302,44.8,Medium,9.7,6339.57,15.665
2024,Tea,Sandy Loam,6.2,141,59,38,17.3,1527,36.5,Low,10.5,483.97,1.196
2026,Sunflower,Peaty,6.98,72,55,87,17.7,418,49.0,Medium,4.4,546.54,1.351
2025,Soybean,Red Soil,7.32,10,57,10,23.4,351,57.8,High,9.0,442.71,1.094
2022,Barley,Laterite,5.4,114,44,61,16.7,533,44.0,Low,11.9,778.76,1.924
2020,Potato,Clay Loam,7.33,158,60,137,12.2,667,52.6,High,9.9,4124.26,10.191
2022,Rice,Black Soil,5.98,159,24,33,22.3,721,45.0,Low,9.1,879.34,2.173
2023,Rice,Black Soil,4.74,208,20,10,12.3,1212,59.6,Medium,10.5,357.9,0.884
2021,Maize,Black Soil,7.82,140,45,44,21.3,1136,70.2,Low,7.2,1436.0,3.548
2024,Potato,Black Soil,5.05,170,54,85,16.2,818,85.8,Low,5.5,6455.99,15.953
2021,Groundnut,Laterite,5.66,11,37,23,25.3,621,34.1,Medium,9.5,807.75,1.996
2020,Groundnut,Saline,7.72,75,70,50,14.1,448,52.1,Low,11.5,266.36,0.658
2022,Watermelon,Red Soil,7.0,110,79,73,12.0,581,88.1,Low,4.9,4498.23,11.115
2026,Soybean,Alluvial,7.58,33,24,41,33.1,150,79.5,Medium,8.1,225.74,0.558
2022,Tomato,Saline,6.1,169,61,149,26.8,374,59.5,Low,5.7,3389.23,8.375
2025,Chickpea,Silt Loam,7.07,10,28,46,21.7,366,83.4,High,5.6,588.5,1.454
2021,Potato,Red Soil,4.58,239,81,110,20.5,356,47.8,High,8.6,5379.43,13.293
2026,Garlic,Clay Loam,4.89,88,64,83,19.8,487,64.1,Low,10.8,2605.08,6.437
2022,Wheat,Loam,6.62,144,46,68,26.9,386,87.4,High,11.6,1342.19,3.317
2020,Wheat,Loam,7.62,162,54,19,10.9,337,56.7,High,7.7,498.56,1.232
2020,Potato,Peaty,8.1,112,83,117,13.6,894,82.5,High,6.8,2894.8,7.153
2021,Wheat,Clay Loam,4.74,113,102,18,26.8,685,34.8,High,8.4,669.64,1.655
2026,Mustard,Laterite,6.96,85,11,39,35.7,346,86.0,Low,7.9,267.1,0.66
2025,Soybean,Silt Loam,5.98,14,60,39,34.5,514,77.7,Medium,5.5,302.18,0.747
2024,Garlic,Silt Loam,7.62,87,48,57,22.3,216,52.7,High,5.6,1324.64,3.273
2023,Maize,Laterite,5.66,150,29,77,29.6,904,61.4,Medium,4.3,796.99,1.969
2020,Rice,Laterite,5.19,137,65,28,11.5,986,58.2,High,10.0,504.8,1.247
2022,Groundnut,Loam,6.08,34,32,29,22.1,653,56.9,High,6.7,839.68,2.075
2023,Onion,Laterite,7.83,125,14,106,27.5,150,36.2,Medium,8.5,1197.3,2.959
2021,Tea,Laterite,4.91,197,40,113,24.7,1485,58.4,High,6.3,538.36,1.33
2022,Sunflower,Peaty,4.9,47,74,90,22.9,499,81.3,Medium,11.1,481.12,1.189
2023,Apple,Peaty,5.54,65,24,116,28.4,1221,73.4,Medium,5.9,1997.42,4.936
2024,Soybean,Red Soil,7.81,10,107,33,23.7,975,41.2,Low,4.5,446.88,1.104
2022,Banana,Silt Loam,5.3,219,22,280,31.9,1741,84.1,High,5.7,9150.31,22.611
2025,Tea,Sandy Loam,4.61,144,64,76,21.4,1861,67.6,High,5.8,715.94,1.769
2021,Cotton,Peaty,5.49,106,83,85,33.4,818,71.8,High,11.5,495.42,1.224
2026,Soybean,Sandy Loam,5.44,70,110,14,24.9,339,68.1,Low,10.2,308.54,0.762
2020,Garlic,Alluvial,8.72,135,67,75,12.4,311,72.7,High,4.4,1302.93,3.22
2021,Sunflower,Black Soil,7.1,77,42,25,36.0,290,70.0,Medium,7.6,295.21,0.729
2025,Tomato,Saline,5.71,157,67,106,22.1,688,46.7,High,4.2,6508.22,16.082
2025,Soybean,Laterite,4.93,21,83,33,20.9,588,66.1,Low,4.2,235.18,0.581
2024,Cotton,Laterite,8.37,122,58,65,34.3,377,75.6,Medium,5.7,260.44,0.644
2025,Cotton,Laterite,5.25,51,51,67,31.7,757,55.9,High,11.3,409.2,1.011
2023,Garlic,Alluvial,8.57,90,95,88,38.5,647,66.4,Low,5.5,914.75,2.26
2020,Sunflower,Silt Loam,7.24,97,34,57,36.8,898,92.2,High,5.0,362.3,0.895
2026,Apple,Black Soil,7.01,149,10,73,24.6,526,44.0,Medium,7.9,1959.33,4.842
2020,Garlic,Clay Loam,7.54,71,22,74,27.9,434,76.2,Low,9.4,1406.7,3.476
2026,Tomato,Black Soil,6.03,156,58,139,31.8,1146,81.5,High,7.5,5696.8,14.077
2023,Tomato,Silt Loam,7.45,160,72,108,33.1,206,79.3,Medium,11.3,2305.26,5.696
2021,Potato,Sandy Loam,8.26,168,48,101,20.7,688,93.7,Medium,11.9,3977.36,9.828
2025,Watermelon,Sandy Loam,8.37,56,92,89,12.8,501,33.9,Medium,7.1,2019.39,4.99
2024,Barley,Alluvial,5.8,92,30,27,28.5,908,88.5,High,10.3,646.91,1.599
2020,Garlic,Black Soil,6.63,61,49,34,24.8,917,88.2,High,7.6,2472.88,6.111
2020,Rice,Sandy Loam,7.29,148,10,86,27.6,1864,41.6,Medium,4.3,738.99,1.826
2020,Tomato,Clay Loam,8.45,94,117,113,26.9,871,94.8,Low,9.8,5503.73,13.6
2022,Tea,Red Soil,4.9,139,10,66,35.1,1329,86.7,Medium,4.4,165.02,0.408
2026,Apple,Loam,4.93,73,18,106,17.7,654,70.1,Medium,8.5,3788.89,9.363
2022,Barley,Saline,4.92,97,20,36,38.5,623,58.9,Low,7.5,236.99,0.586
2026,Onion,Saline,6.7,100,12,98,22.8,1340,80.3,Medium,9.9,4146.52,10.246
2026,Apple,Saline,5.62,78,15,129,33.4,744,85.3,High,6.2,1291.76,3.192
2020,Coffee,Silt Loam,7.37,174,67,133,14.2,1755,73.0,Medium,7.4,389.75,0.963
2022,Sunflower,Saline,7.67,92,96,10,17.3,658,88.8,Medium,10.7,430.78,1.064
2024,Garlic,Red Soil,6.24,74,66,71,38.8,594,32.8,Medium,8.0,1630.81,4.03
2025,Apple,Silt Loam,4.66,21,84,117,14.9,347,48.5,Medium,10.3,1631.25,4.031
2024,Watermelon,Loam,5.79,109,72,98,32.5,934,92.8,Low,4.6,7359.18,18.185
2022,Sugarcane,Loam,8.24,200,56,144,34.2,2077,56.5,High,8.3,15342.91,37.913
2021,Sugarcane,Saline,6.72,185,106,112,23.8,1949,70.9,Medium,8.8,20503.27,50.665
2020,Onion,Loam,5.66,36,10,64,14.9,1093,46.3,Medium,5.7,2227.15,5.503
2024,Chickpea,Saline,8.33,85,50,58,38.0,900,65.3,Low,6.1,212.83,0.526
2023,Wheat,Silt Loam,4.74,58,91,62,35.6,507,68.9,Low,6.2,192.64,0.476
2022,Potato,Silt Loam,8.46,106,73,97,23.8,195,83.4,High,6.7,1750.66,4.326
2021,Potato,Black Soil,5.1,171,92,133,18.3,610,45.7,Medium,11.0,11735.34,28.999
2026,Sugarcane,Black Soil,6.04,206,93,108,36.7,1891,55.4,Medium,10.6,20916.5,51.686
2020,Cotton,Red Soil,5.08,104,43,68,25.8,972,53.3,Medium,4.0,368.57,0.911
2022,Wheat,Red Soil,6.02,57,55,35,11.3,465,83.4,Medium,7.5,648.51,1.603
2021,Cotton,Saline,5.75,60,69,10,31.0,388,69.5,High,4.2,146.85,0.363
2026,Watermelon,Laterite,8.78,60,67,57,17.1,191,38.3,Low,4.6,819.65,2.025
2023,Banana,Peaty,7.16,212,73,258,23.7,1690,37.3,Low,11.9,20715.79,51.19
2020,Tea,Saline,6.9,125,43,31,32.7,1547,47.4,High,10.6,125.53,0.31
2025,Potato,Laterite,5.67,143,98,116,15.2,1038,93.7,Medium,5.5,5981.46,14.78
2026,Tea,Black Soil,6.61,68,73,42,39.2,2331,35.7,Low,9.0,232.93,0.576
2021,Sunflower,Silt Loam,7.42,63,38,10,17.6,272,33.2,Low,10.7,297.15,0.734
2021,Sunflower,Sandy Loam,5.94,190,73,59,21.8,150,89.5,Medium,5.5,334.61,0.827
2023,Mustard,Saline,7.63,87,56,33,39.0,182,62.7,High,4.4,171.7,0.424
2020,Rice,Laterite,5.98,112,76,20,26.5,1036,90.9,Medium,4.8,1152.31,2.847
2020,Rice,Red Soil,5.75,90,10,57,30.9,780,71.0,High,11.5,876.31,2.165
2025,Apple,Peaty,5.6,148,89,105,19.6,472,37.3,Medium,8.4,4670.8,11.542
2020,Potato,Saline,7.06,67,69,105,25.4,687,37.1,Medium,4.6,2293.48,5.667
2025,Barley,Clay Loam,8.18,73,10,37,15.8,326,94.1,High,6.9,560.11,1.384
2026,Banana,Black Soil,5.44,160,44,275,15.6,1780,68.3,High,4.4,6032.82,14.907
2024,Chickpea,Alluvial,5.39,53,73,29,28.5,374,88.6,Medium,8.8,435.1,1.075
2024,Coffee,Alluvial,4.84,177,43,66,28.8,1477,33.4,Low,10.0,292.71,0.723
2024,Apple,Red Soil,8.52,102,41,126,36.5,742,48.4,Low,4.8,1154.4,2.853
2023,Watermelon,Peaty,4.65,168,98,137,29.5,213,40.9,Medium,6.6,3730.1,9.217
2026,Groundnut,Clay Loam,6.02,33,58,96,38.3,585,73.5,High,5.7,523.83,1.294
2020,Garlic,Laterite,7.37,150,24,36,31.6,467,83.6,High,9.8,1402.08,3.465
2023,Potato,Alluvial,7.61,83,71,140,33.6,150,64.2,High,9.4,897.26,2.217
2020,Barley,Black Soil,5.03,28,43,51,18.7,495,94.6,Low,5.8,436.65,1.079
2024,Barley,Loam,5.72,39,49,33,37.6,726,67.6,Medium,4.4,274.67,0.679
2025,Soybean,Black Soil,5.77,37,78,29,32.6,310,71.6,High,9.9,393.04,0.971
2023,Garlic,Clay Loam,7.8,47,81,59,17.8,480,91.3,Medium,8.0,2447.18,6.047
2026,Soybean,Peaty,5.07,93,39,28,17.3,634,54.5,Medium,8.3,370.0,0.914
2026,Apple,Red Soil,5.72,74,12,110,20.6,230,54.7,Medium,5.3,1310.88,3.239
2022,Tomato,Black Soil,4.64,116,96,128,19.3,303,58.7,Medium,6.9,2501.75,6.182
2025,Potato,Sandy Loam,7.68,205,76,67,26.6,432,48.2,High,4.0,1672.75,4.133
2023,Barley,Sandy Loam,5.7,73,42,53,28.2,252,43.4,Low,6.1,219.76,0.543
2020,Chickpea,Saline,8.15,45,29,10,15.5,150,40.3,High,11.2,191.94,0.474
2022,Chickpea,Alluvial,6.98,16,44,18,25.4,350,34.5,Medium,5.8,481.53,1.19
2022,Mustard,Black Soil,4.85,10,37,13,11.3,150,91.0,Low,7.9,83.07,0.205
2025,Sunflower,Alluvial,7.11,85,77,28,35.2,1019,46.9,High,6.3,468.16,1.157
2025,Maize,Red Soil,8.53,173,65,39,12.5,402,72.2,Low,10.1,262.28,0.648
2026,Mustard,Silt Loam,6.75,33,25,48,34.0,624,54.8,Low,5.4,304.79,0.753
2020,Watermelon,Loam,7.94,142,79,118,15.6,150,66.5,Medium,7.4,1761.81,4.354
2022,Sugarcane,Alluvial,8.78,250,54,102,12.9,2319,67.2,High,11.6,6988.5,17.269
2025,Onion,Laterite,4.75,51,77,105,20.8,1305,32.2,High,7.3,2338.31,5.778
2024,Tea,Silt Loam,5.4,165,31,92,37.1,1851,91.4,High,11.2,489.46,1.209
2021,Chickpea,Alluvial,4.61,10,90,47,35.6,758,30.0,Medium,6.8,131.84,0.326
2025,Apple,Loam,8.49,74,10,101,24.9,906,62.5,Medium,9.6,1659.1,4.1
2022,Garlic,Sandy Loam,4.59,105,63,62,31.4,150,70.8,Low,4.9,273.34,0.675
2022,Chickpea,Laterite,7.26,10,65,10,15.8,903,73.9,Medium,6.5,316.76,0.783
2024,Cotton,Saline,4.88,117,61,30,16.4,759,59.9,Medium,7.5,163.7,0.405
2024,Sunflower,Saline,8.28,63,56,93,18.3,750,82.0,Low,9.4,410.43,1.014
2024,Mustard,Black Soil,5.83,144,10,10,28.2,150,42.1,Low,11.7,156.22,0.386
2021,Banana,Sandy Loam,7.95,143,63,238,35.8,1244,34.0,High,5.7,4491.66,11.099
2024,Apple,Sandy Loam,4.94,119,83,119,30.4,801,63.8,High,9.1,2683.72,6.632
2024,Apple,Saline,6.54,122,30,60,19.1,567,51.5,High,8.1,4146.59,10.246
2022,Tomato,Sandy Loam,7.14,113,61,91,19.9,150,58.9,High,6.9,2869.84,7.092
2023,Apple,Loam,8.01,90,27,103,22.2,1022,93.7,High,6.5,2129.03,5.261
2026,Wheat,Red Soil,6.86,174,51,10,28.5,545,73.2,Low,4.5,534.27,1.32
2020,Tea,Red Soil,4.59,149,31,49,11.4,2043,92.7,Low,7.4,382.31,0.945
2025,Coffee,Laterite,8.09,174,10,185,21.5,1464,81.5,Medium,7.7,238.72,0.59
2023,Wheat,Sandy Loam,6.41,165,10,29,29.3,150,62.6,High,11.2,283.11,0.7
2026,Apple,Alluvial,4.9,141,48,119,36.3,802,36.1,Medium,5.3,2166.61,5.354
2021,Soybean,Alluvial,5.78,36,27,31,26.1,150,32.0,Medium,9.5,439.85,1.087
2024,Potato,Black Soil,8.17,127,78,109,14.6,1150,30.3,High,5.2,3153.08,7.791
2022,Maize,Black Soil,4.72,184,56,73,25.1,799,47.9,Low,5.5,971.0,2.399
2022,Maize,Sandy Loam,7.45,216,50,62,14.5,789,94.5,Low,9.4,1049.21,2.593
2023,Chickpea,Alluvial,4.79,37,62,46,18.3,730,85.8,Low,4.0,441.73,1.092
2022,Tea,Alluvial,5.5,105,24,122,23.8,1713,52.7,Low,11.7,898.11,2.219
2026,Maize,Clay Loam,7.12,171,78,60,31.6,786,43.9,High,4.9,1444.54,3.57
2021,Coffee,Sandy Loam,6.89,179,48,138,21.1,1774,69.2,Medium,6.9,553.62,1.368
2024,Garlic,Sandy Loam,5.96,34,15,63,16.5,509,71.4,Low,11.0,2644.23,6.534
2020,Wheat,Peaty,8.2,85,52,24,24.9,798,88.4,Medium,10.9,719.09,1.777
2026,Sugarcane,Saline,6.67,172,95,64,20.3,2223,71.4,High,5.9,8594.99,21.239
2026,Coffee,Black Soil,7.49,105,32,169,32.4,1600,90.0,Low,10.9,179.28,0.443
2024,Watermelon,Sandy Loam,4.52,86,95,85,28.8,303,65.4,High,4.1,4065.35,10.046
2022,Sunflower,Laterite,5.89,82,63,70,38.3,609,79.8,Medium,8.8,416.11,1.028
2026,Tea,Silt Loam,5.57,243,10,56,23.2,2284,64.8,Low,7.2,607.33,1.501
2025,Maize,Red Soil,6.99,134,75,59,34.8,513,80.0,High,6.8,779.54,1.926
2026,Rice,Red Soil,7.12,171,81,48,29.9,1137,49.2,Medium,6.5,1233.15,3.047
2023,Barley,Peaty,6.36,54,21,38,18.7,516,48.9,Medium,7.4,1167.43,2.885
2024,Banana,Red Soil,8.04,199,98,264,14.7,1272,42.4,High,9.0,5767.8,14.253
2025,Cotton,Black Soil,4.81,191,28,45,35.2,720,84.4,Medium,6.6,283.73,0.701
2023,Wheat,Red Soil,6.12,130,35,36,17.4,1217,70.4,Medium,8.3,1309.41,3.236
2022,Banana,Loam,8.32,158,71,256,11.6,2272,67.9,Medium,5.4,4129.79,10.205
2023,Tea,Loam,5.98,180,36,87,36.5,1978,57.0,High,6.8,336.97,0.833
2021,Watermelon,Alluvial,8.43,104,24,132,13.0,683,31.1,High,11.1,2433.04,6.012
2025,Garlic,Black Soil,7.06,113,55,38,31.4,1337,44.6,High,4.9,1031.29,2.548
2025,Chickpea,Saline,5.37,117,10,26,22.3,401,84.7,High,5.2,210.12,0.519
2020,Watermelon,Saline,5.42,120,78,150,28.6,528,50.1,Low,6.2,5051.72,12.483
2020,Cotton,Laterite,7.13,87,56,71,12.7,1207,42.6,Medium,4.7,269.79,0.667
2025,Tomato,Saline,4.77,177,59,139,14.2,499,92.6,Medium,11.3,2697.44,6.666
2022,Chickpea,Laterite,6.0,10,101,16,29.5,653,87.7,Low,9.0,230.96,0.571
2022,Barley,Loam,8.7,139,27,30,10.6,718,31.8,Low,11.1,544.83,1.346
2026,Potato,Saline,7.98,140,65,92,33.4,758,61.3,Medium,9.4,1734.19,4.285
2022,Tea,Silt Loam,7.01,149,12,110,19.4,1471,67.0,Low,8.9,371.53,0.918
2021,Barley,Alluvial,8.13,117,68,38,21.5,887,88.8,High,6.2,986.01,2.436
2024,Tea,Loam,8.45,167,38,82,10.7,2289,51.6,High,4.5,251.26,0.621
2023,Groundnut,Peaty,7.57,23,47,28,17.2,778,48.3,Medium,4.8,434.89,1.075
2026,Tomato,Red Soil,7.05,156,27,131,28.6,287,47.2,Low,7.7,2944.79,7.277
2022,Tomato,Saline,6.04,171,82,168,19.9,752,48.9,High,7.5,7713.77,19.061
2021,Sunflower,Alluvial,5.31,62,101,57,15.8,934,66.6,Medium,9.9,474.49,1.172
2026,Groundnut,Peaty,8.73,88,52,50,36.1,895,76.5,Low,9.8,466.26,1.152
2026,Groundnut,Silt Loam,8.17,80,89,41,17.2,683,63.4,Medium,10.0,622.62,1.539
2022,Tomato,Loam,5.28,131,114,136,23.4,434,53.2,Medium,6.7,5997.64,14.82
2023,Garlic,Laterite,7.81,99,14,88,13.5,993,52.4,Medium,6.6,1424.13,3.519
2021,Maize,Laterite,8.28,164,51,61,29.3,268,79.7,High,11.5,486.7,1.203
2026,Potato,Alluvial,8.5,94,60,95,17.6,540,34.4,Medium,5.0,4302.63,10.632
2023,Potato,Clay Loam,7.8,156,65,131,29.8,150,47.7,High,8.3,959.66,2.371
2026,Potato,Black Soil,7.68,171,108,91,38.5,538,85.4,High,7.9,2267.57,5.603
2025,Soybean,Silt Loam,7.76,27,74,88,20.2,182,50.1,Medium,7.1,258.47,0.639
2022,Tomato,Saline,8.2,190,59,126,39.5,321,49.0,Low,10.8,1116.13,2.758
2021,Tomato,Saline,5.87,117,107,109,22.6,1021,44.3,Low,5.8,5606.38,13.854
2021,Barley,Red Soil,6.21,80,34,27,10.3,396,81.6,Medium,7.7,628.49,1.553
2025,Sunflower,Silt Loam,7.41,133,90,52,31.9,1047,75.0,Low,5.0,814.65,2.013
2026,Wheat,Red Soil,6.35,176,60,10,34.8,240,85.2,Medium,5.9,234.17,0.579
2023,Tomato,Sandy Loam,6.43,141,78,108,22.7,876,93.7,High,4.6,9044.71,22.35
2022,Sugarcane,Alluvial,7.82,246,58,56,12.3,1899,68.6,Low,4.2,6660.34,16.458
2021,Garlic,Loam,6.82,76,80,109,29.3,496,49.6,High,4.3,1770.87,4.376
2026,Rice,Alluvial,7.22,163,88,75,10.8,2049,95.0,Low,4.3,708.75,1.751
2026,Rice,Sandy Loam,6.33,131,34,71,17.7,1629,83.0,Low,7.6,1018.69,2.517
2024,Tea,Saline,6.43,124,50,38,30.1,2002,71.3,Low,11.4,228.08,0.564
2025,Apple,Sandy Loam,5.56,161,101,115,20.9,379,32.3,Low,11.7,3090.96,7.638
2023,Garlic,Silt Loam,6.68,63,53,10,23.6,698,92.8,Low,5.1,1867.27,4.614
2026,Onion,Laterite,7.26,140,69,73,32.5,877,90.0,Medium,8.0,2796.66,6.911
2024,Cotton,Clay Loam,4.94,129,18,19,31.0,150,64.1,Medium,7.1,142.31,0.352
